,text,label
0,@yumi酱是尤文蒂娜：二次伤害更严重，领起来摇晃和拍打[摊手]@宝俶北路：毫无急救常识的家长！ 颈部受伤须平躺固定颈部…可怜@杨子酱Y：有时候真是一瞬间就是 永别 了。 我有时候在超市提醒某些家长别让小孩站在购物车边缘以防小孩跌落，有些家长还不以为然。,1
1,“她什么都不跟我讲，我对她的生活了解很少。 ”李女士说，吕美的父亲在吕美1岁时 去世 ，自己再婚后育有一女。 因为家庭的原因，吕美性格内向，与继父关系不好，朋友圈也很小。,1
2,日前，记者从《平凡的世界》责任编辑张引墨处了解到，为了满足读者的需求，北京十月文艺出版社连续紧急加印了4次，包括网店和实体书店，全面铺货。 张引墨告诉记者，路遥 逝世 后，其作品先后有多个不同版本问世。 至2008年，作为合法拥有路遥创作的所有作品的唯一著作权人，路遥女儿路茗茗正式授权北京十月文艺出版社以图书形式独家出版发行路遥先生的全部作品。,1
3,今年5月中旬，李某某称要治疗此病需要“圆房”，得到奶奶唐某某的同意。 5月30日，唐某某带王某到李某某家先进行“化水”叫王某喝下后，李某某和唐某某将王某带往李某某家附近的小山上，唐某某途中停下，李某某继续将王某带至一小树林后，对王某实施了 性侵 。 此事发生后，王某甚感愤懑，心情极度抑郁，遂产生轻生念头，想以死证明自己清白。,1
4,原标题：上半年海口发放4199万失业金超过3万人次受益今年春节后，在海口一家贸易公司工作的关女士，由于公司经营不善，宣告关门，她也成了一位失业者，加上身体有点不适，至今还 待业 在家。 3月初，她按照规定去办理了失业登记，之后每月领取了1401元的失业金。,1
5,毛坯房 厨房贴砖 做防水 卫生间 贴砖 文化砖 刷腻子 家里所有的家具都是请木工制作的，这个是小孩的柜子 小椅子 厨房的橱柜安装 卫生间洗漱区 沙发也是自己做的，上边铺上海绵垫 由于做家具，所以还没有铺地板 地板铺好了 铺好地板的客厅 餐厅效果 卧室效果 电视墙，没有多余的东西，只在墙上做了个方格收纳的东西 好一套简约的北欧风格，这位业主倒是也省钱，干脆所有的家具都自己请木工做，小孩的家具真是做的太可爱啦。 喜欢的小伙伴可以甩个关注哟！,1
6,警方获报前往勘验，发现妇人已成干尸，房子遭断水断电，警方推估，与妇人同住、精神不稳的53岁大儿子伴尸时间超过1个月。 据报道，妇人尸体外观完整，警方初步排除他杀可能，妇人的大儿子讲话颠三倒四，还透露说，妈妈年初就 不在了 。 鉴识人员进一步采证，调查妇人死亡时间，31日将会同检察官和法医相验，以厘清案情。,1
7,霸气的人做事就是果断利落，才离婚一年多，贝拉 小姐 张雨绮宣布再次结婚啦，短短70天的时间，吃瓜群众可能还没摆脱单身的命运，但张雨绮随手就扔给大家一个惊喜炸弹，她又结婚了！ 真是猝不及防的被洒了一脸狗粮啊！,0
8,她看到哪家的日子过得不好，心里就难受，就想管，就想帮。 张家的大爷没了老伴儿，她就像女儿一样常去陪老人唠唠家常；马家的孩子在火灾中身受重伤，她就立即组织捐款捐物；物业和居民起了冲突，她就冒着大雪去调解……这些事儿组成了于波 同志 的日常工作，可就是这些小事，于波也不敢有一丝的倦怠，因为她总说“社区就是我家，居民就是我的亲人，亲人有事儿，不能袖手旁观”。 在2012年抗击“梅花台风”时，正好赶上家人生病住院，然而于波同志把群众利益放在第一。,0
9,1981年后，她正式定居香港。 90岁过后，霍林沃斯已双目 失明 ，但她依然坚持每日收听英国广播公司（BBC）新闻，但尽量不会收听有关战争新闻。 据称霍林沃斯仍然坚持一个习惯，就是在睡前把护照放在床头，并在床尾准备一双鞋，她认为护照和鞋是记者最重要的物品。,1
