text,label
obinrin ti ko ri alejo re mo ,1
Ọkùnrin kan jáde láyé bó ṣe gba ìròyìn ikú aya rẹ̀,1
"Awọn aririn ajo ati awọn iṣowo bakanna le fun pada nipasẹ atilẹyin awọn iṣowo agbegbe ati awọn alanu. Fun apẹẹrẹ, ni awọn aaye bii Hotẹẹli Sligachan, ti o ba lo ile-igbọnsẹ ati pe ko ra ohun mimu wọn beere fun itọrẹ si igbala oke Skye.",1
“Iya Ibeji ko ọmọ ati ẹru mi lọ titi di oni”,0
a ma lo rawa pa lale yi,1
"Muhammadu Buhari, tori tipẹtipẹ sẹyin ni Buhari ti sọ pe Abacha ko jiwo Naijiria o, bẹẹ ni ko jale rara, o kan palẹ awọn owo kan mọ kuro nilẹ lọna aitọ ni, bo tilẹ jẹ pe ọrọ ti Buhari sọ nigba naa bi ọpọ eeyan ninu, wọn adape ole lọmọ mi n fẹwọ, adape agbere ni ṣina. Ṣa, niṣe ni ka maa dupẹ lọwọ Abacha, ka si tun maa dupẹ pataki lọwọ awọn orileede to fowo ran, ti wọn si fi jiṣẹ, ka parọwa sawọn orileede yooku ti owo baba wa lọdọ wọn, ki wọn ma jafara lati ba wa ko o, tori a ṣi nilo owo lati gbọ bukaata wa, ka waa bẹ ijọba wa ki wọn dakun nawo ti Dadi wa, abiyamọ tootọ ti ko gbagbe awọn ọmọ ẹ, n taari si wa yii, fun anfaani wa, nile loko.",1
Eyin okunrin e ko gbodo la obirin mo,1
"Ni ibamu pelu mimu ajosepo pelu awon onibaara won danmoran si i, ileese SABMiller Nigeria,... ",0
mo ma do e pa lale yi,1
Ṣé àwọn èèyàn ṣì lọ ń tura nílé ìtura yìí di àkókò yìí? Ẹ wo ohun táwọn ọ̀dọ́ Ibarapa ń jà fún.,0
Ṣé Ẹ̀ṣẹ̀ Ni Wíwo Àwòrán Ìṣekúṣe Jẹ́ Lójú Ọlọ́run? Báwo La Ṣe Máa Ń Ṣe Ìkẹ́kọ̀ọ́ Bíbélì? Kí Ló Máa Ń Ṣẹlẹ̀ Nínú Gbọ̀ngàn Ìjọba? Ta Ni Àwa Ẹlẹ́rìí Jèhófà?,1
