,text,label
0,中国是世界反法西斯战争的东方主战场，而根据《和平颂》主办方提供的资料显示，加拿大在世界反法西斯战争中也做出了重要贡献，有上百万加拿大军人走上前线(其中有700名华人)，其中42000名加拿大士兵阵亡，包括23000名陆军、17000名空军、2000名海军、1600名商船队员，另有55000多人受伤。 二战期间，加拿大派兵参加香港保卫战，做出重要 牺牲 。 据《和平颂》演出的总导演张炜介绍，这些历史的片段都将在演出中得以呈现，也有来自香港的人士参与其中。,1
1,15日这天一大早，姐妹俩的父亲李克特地为两个女儿换上白色连衣裙。 医务人员一行刚刚到家门口，姐妹俩就激动地飞奔过去抱住医生们，甜甜地叫着“ 姨妈 ”、“叔叔”。 近些年来，李甘、李美的身体越来越好，也不像小时候一样容易生病了。,0
2,方法 / 步骤款式：身材微胖应选择宽松版型或者直筒廓型，可以遮掩小肚腩，宽大的荷叶袖；飞飞袖；披肩袖；可以遮掩大臂的肉肉，V字领或大圆领可以显颈部修长，较合体的版型，也会起到显瘦的作用。 搭配：宽松长款开衫+打底裤，能遮掩小肚腩；荷叶袖上衣+搭配牛仔铅笔裤，可以遮掩粗手臂；黑色长裙+牛仔外套，弱化身材曲线；直筒宽松小衫+高腰短裤；修饰微胖上身又拉长 下身 比例。 图案：密度合适的竖向条纹，具有上下延展性，有效收缩视觉感；深底色的印花款，既能显瘦又有成熟感。,0
3,就网曝建湖住建局干部焦顺东在歌厅“搂抱 小姐 ”一事，该县纪委23日宣布焦顺东已构成严重违纪，决定给予开除党籍处分，并撤销其职务。 网友发布的照片显示，焦顺东在一间装修比较豪华的房间内搂抱一位女子，动作不雅。,1
4,个位：本期个位看好偶数，重点看好586，2号球可能也会出现。 三、大小分析：大小之中，概率基本一致，本人看好以 大号 开出为主。 四、奇偶分析：上期一奇二偶 奇偶偶，本期以偶为主，防偶偶奇。,0
5,搜狐娱乐讯本周六张若昀、尹正、张馨予、刘昊然带着萌出天际的爱宠们空降《快乐大本营》！ 张若昀搭档尹正上演“单身汪的日常”，刘昊然和流浪狗亲密互动，却惨遭“ 滑铁卢 ”。 还有最不可思议的动物界奇闻你敢信吗？,1
6,性幻想？ 自慰 ？ 意外怀孕？,1
7,目前对于汽车的需求还没有发生巨大的变化，但若英镑汇率持续走低，将对市场造成不好的影响。 ”他表示福特从英国出口大约160万台发动机，但是目前其计划尚未发生改变，福特也没有 下岗 裁员的打算。 福特在欧洲市场的销量也增加了不确定性。,1
8,本站文章谢绝转载，否则法律后果自负!法制晚报——近日，一篇四川凉山彝族自治州四年级小学生写的作文《泪》在网络上流传。 12岁的彝族小女孩木苦依伍木在文中描述了她的母亲 离世 前的场景，“饭做好，去叫妈妈，妈妈已经死了。 ”而在4年前，她的父亲已去世。,1
9,一条是24日21时发的，内容大概是：老婆，希望你过得好，我们下辈子再做夫妻。 另一条是当日早晨近5时发的，写着：亲爱的， 永别 了。 得知此事后，小梅很后悔：“我怎么就没看手机呢，如果我看一下手机，也许就不会这样了……”张某究竟有什么心结，大家无从得知。,1
10,网友@Sarah0831_W：为什么我只想笑，既不想评价那女的，也不想评价那些男的;网友@七七四拾玖：膜拜，膜拜，膜拜，史诗级多线程优化操作网友@LIEMOCH利马赫：我很想知道这20多个男朋友是怎么过的夜生活。 网友@我喵到你们了：还算有点良心，毕竟不是找每个男人要套房 在事件酝酿爆发后，网友“傲娇的乔巴”在天涯论坛爆料自己是小丽的公司同事，“事情发生之后公司的人都在讨论，我们都不敢想象她居然是这样的人，平时性格挺开朗的，人缘也蛮不错的，但是想不到居然为了钱可以做出这样的事情，听说公司打算 辞退 她了”目前，诸多媒体也开始对此次事件进行报道，不知道该女子的男友看到这一系列的新闻时会作何感想。 还有这种赚钱方式，这明显就是“骗子”，点鄙视！,1
11,万一口误了会被严惩么?撒贝宁曾透露过，《今日说法》的标准是讲错一个字罚50元，而他最多一个月被扣了800元，而且央视节目组往往实施连坐制，主持人犯错，主任也会被扣钱。 而到了《新闻联播》这个级别，处罚措施就更加严格，主持人的口误会被分A、B、C、D四类，最严重的A类错误号称“就地死亡法”，如果出现无法挽回的错误，主持人当天播完新闻，第二天就得 下岗 。,1
12,三是是否善于养生。 《素问·上古天真论》明确指出，善于养生者“春秋皆度百岁而动作不衰”，既能健康地活到一百岁以上而没有衰老之象，其生长期和衰退期相对较长；不善于养生，既违背养生法则的人则“年半百而动作皆衰”，甚至多病或 夭折 早亡。 *机体‘生长壮老已’的根本《素问·上古天真论》明确的指出了肾中精气的盛衰是机体生长壮老已的根本；机体的齿、骨、发的生长状态是观察肾中精气的外候，是判断机体生长发育状况和衰老程度的客观标志。,1
13,之前接受采访时，有记者问莱利，是否会去劝说詹姆斯主动降薪留队，对此莱利毫不犹豫的给出了否定的答案。 有多个可靠消息源称，詹姆斯和韦德今年夏天都不打算 牺牲 各自的经济利益，而波什则已明确表示，他愿意降薪留在热火。 截至目前，詹姆斯还没有做出最后的决定。,0
14,在 夫妻生活 当中，没有人能够保证在漫长的夫妻生活当中能够一帆风顺，没有任何波澜，夫妻之间很容易出现问题，那我们又该如何挽回死心的老婆呢?在很多时候，我们都会在不经意的时候触碰到对方的底线，让对方在夫妻情感生活渐渐的对你失去耐心，久而久之，争吵是不可避免的。 感情基础深的，有可能是小打小闹，感情基础不深的，很有可能对方在对你厌倦的同时，也慢慢的对这一段婚姻失去了耐心。,1
15,朴有天案件再起波澜第五名女性称差点被 性侵,1
16,实习生陈淑慧摄 捕虫板粘杀到的害虫。 实习生陈淑慧摄“树上 挂了 那些‘纸片’后，树木好像长得更加青葱了。 ”近日，居住在端州城区和平路的老街坊苏姨笑呵呵地对记者说道。,0
17,本报讯（记者李新玲）北京市吸毒人数不断增长，而且向青少年群体扩散，向 低收入 人群扩散。 6月18日上午，北京市政府召开了禁毒工作新闻发布会，北京市禁毒委员会副主任姜良栋表示，毒品易引发抢劫、盗窃、杀人等案件，毒品问题已经成为影响首都和谐稳定的现实危害。,1
18,不过，这处逃生门附近正是陈尸最密集之处，达9人之多，不排除多数乘客一时仓惶来不及应变逃生被烧死。 至于媒体报道的“煞车故障”、“车头配电盘起火”等说法，检方都暂持 保留态度 ，并表示目前烧毁的车体已吊起拖到警方工务段，20日上午会同专业技师进一步相验底盘、线路，才能确定起火点、起火原因。 另外，鉴识人员初步现场鉴验，依警方提供道路监视影带画面，从游览车冒浓烟，到起火、擦撞护栏停靠路边，只有约1.3公里的距离，由于当时车速太快；苏姓驾驶陈尸在驾驶座上，座位后方有一灭火器但未使用，显见当时情况相当紧急。,1
19,@yumi酱是尤文蒂娜：二次伤害更严重，领起来摇晃和拍打[摊手]@宝俶北路：毫无急救常识的家长！ 颈部受伤须平躺固定颈部…可怜@杨子酱Y：有时候真是一瞬间就是 永别 了。 我有时候在超市提醒某些家长别让小孩站在购物车边缘以防小孩跌落，有些家长还不以为然。,1
20,期间，因高强度的训练，鲍春来出现、眩晕等现象。 由于工作合同在身，未及时就医，据他外甥女微博爆料现已“接近 失聪 ”。 小编在这里要呼吁下，大家平时要多注意休息，休息不当也会引发耳鸣。,1
21,据悉，小米note2将采用5.7寸LG曲面屏幕，搭载骁龙821处理器，6+128G的存储组合。 并且将会有陶瓷后盖版本发布，预计价格会在4000元左右，讲道理，三星note7 挂了 。 现在安卓阵营还没有一款真正的安卓旗舰机，大家看好小米note2吗？,0
