,text,label
0,记者２１日从国家旅游局获悉，国家旅游局修订出台了《旅游厕所质量等级的划分与评定》标准，明确要求各地在旅游厕所建设管理中增加坐厕位数量、女性厕位比例以及安全扶手等设施，同时在停车场、旅游区入口等瞬时人流负荷较大的区域设第三卫生间。 国家旅游局局长李金早说，厕所革命要以人为本，在推进文明 如厕 的同时，要创造更加舒适、人性化的如厕环境。 下一步，国家旅游局将深入推进厕所革命，推动各地厕所建设管理更加科学、合理，更好地服务于广大游客。,1
1,《阿甘正传》的主人公阿甘先天弱智，智商只有75，正因如此，他在入学时被拒，并被建议入读特殊学校，但阿甘的母亲却不甘心如此，在她的 牺牲 下，让阿甘入读了正常学校，并激励阿甘不断取得获得人生成功。 为什么阿甘入学会被拒，仅仅是因为校长的为了索取“贿赂”吗？,0
2,而参与到公益慈善事业当中来，是实现缩小贫富差距的非常有效地途径。 四、有效解决弱势群体生活现状在我国，需要救助的人士一个非常庞大的数字，每年有数千万的灾民需要救济，有数千万城市 低收入 人口需要参与低保，此外，还有数千万农村绝对贫困人口以及残疾人和60岁以上的老年人需要各种形式的救助，面临这样的情况，大力发展公共公益慈善真的非常有必要。 伸出双手，帮助每一个需要帮助的人吧【以上资料来自网络】,1
3,我们要铭记历史，珍爱和平。 看着看着，我仿佛看到了那硝烟弥漫的战场，每一幅图片都是那么触目惊心，那些为了抗战而 牺牲 的将士们让我们肃然起敬，那些为了和平而努力的外国友人们让我们特别佩服。 陈伯伯带我们参观了博物馆里最重要的物品——日本友人西山诚一替父亲赎罪亲笔写的一封致歉信。,1
4,作为一项系统工程，地暖和空调一样都隶属大功率电器，并且都有自身的使用寿命，如果使用方法不当，保养方法不好，在使用途中很有可能 夭折 。 四个注意事项注意一、首次运行通热水步骤1、首先打开分水器供水总环路阀门，将热水温度逐步升高注入管道里循环。,1
5,适用于社会心肺复苏培训机构、医院、医学院、卫校等进行新生儿心肺复苏培训的理想产品。 执行标准：美国心脏学会（AHA)2010国际心肺复苏（CPR)心血管急救（ECC)指南标准功能特点：■ 人工手指位胸外按压显示报警：1）按压深度至少为 胸部 前后径的1 / 3大约为4cm；2）按压错误时则有的指示灯显示及错误的报警。 ■ 模拟标准气道开放显示。,0
6,英超胡尔城队近来没什么比赛，然而球队主帅史蒂夫 - 布鲁斯却比以往都要”壮“。 54岁的布鲁斯在退役后日益 发福 ，而他的前曼联队友贝克汉姆，却依然身材极佳，经常出各种写真。 上周，布鲁斯暂时把球队的保级重任抛在脑后，和好友阿兰 - 希勒一起，奔赴巴巴多斯岛度假。,1
7,对于新娘来说，最重要的莫过于在婚礼当天成为最美的女一号。 选择时尚又适合自己的婚纱当然必不可少!可是有好多女孩的 胸部 较小，穿婚纱的时候没有形状，今天兰蔻婚纱摄影小编就给大家分享胸小怎么穿婚纱要注意的几个要点，让胸小的女生也能把婚纱穿出丰满女人味。 胸小怎么穿婚纱注意要点一，选对罩杯，对于胸小的新娘，在拍婚纱照时，千万不能过于担忧，只要自己能够选对内衣罩杯，那么就可以让胸部看起来圆润而挺立，真正为自己增加女人的魅力。,1
8,安国市市长罗利表示，此次大规模中药生产加工项目集中开工，不仅推动安国中药产业链条的延伸，更标志着中药产业科技含量的大幅提升。 同时也将进一步促进安国中药产业集聚、产业层次提升和产业 结构优化 ，实现从“药材之都”向“药品之都”的转变。,1
9,“试炼之地”是一个对40级以下小号开放的副本，通关此副本，小号可以获得大量经验， 大号 会根据队伍中小号的数量获得不同数量的修养，对于大号小号都能获得不小的利益，是每个战魂玩家每天必刷的副本。 下面我们就来了解下这个副本。,0
10,图片来自网络针对“四川广安华蓥市豪迈国际广场一女孩坠楼”事件，华蓥市公安局政工科一唐姓工作人员7月20日告诉澎湃新闻，坠楼女孩王某因身体不好，她奶奶因封建迷信思想严重，找“八字先生”李某某为孙女治病。 李某某称治疗需要“圆房”，在征得唐某某同意后对王某实施 性侵 ，王某产生轻生念头遂跳楼自杀。 目前两名涉案人员被刑拘。,1
11,准备一些面粉和少量的蜂蜜，混合均匀后，放在纱布里，加入一些橄榄油，然后卷起来。 把它贴在 胸部 或背部，用医用胶带固定住，然后穿上睡衣。 就可以了！,0
12,期间，因高强度的训练，鲍春来出现、眩晕等现象。 由于工作合同在身，未及时就医，据他外甥女微博爆料现已“接近 失聪 ”。 小编在这里要呼吁下，大家平时要多注意休息，休息不当也会引发耳鸣。,1
13,拉尼尔称，这名男子与其女友在车内发生争执。 当一名人口普查局警卫上前询问情况时，这名男子突然拔枪射击，导致警卫 胸部 中弹。 据当地消防部门官员透露，这名警卫伤势严重，随后被送往附近医院就医。,0
14,它主要是由直路所组成，不过却被数个很慢的弯所干扰。 像蒙扎一样，弯中的抓着力将会因为直路的速度而 牺牲 。 车队们都会采用较硬的悬挂调校和低下压力。,0
15,相似案件：TVB女星涉陪睡续身价暴涨或主演卖淫题材电影 据台湾媒体报道，上周一傍晚，台湾查获一名涉嫌卖淫的金姓韩国籍女子，追查下发现金姓韩国籍女子所属应召网站，是一个专以LINE揽客的跨国卖淫集团，旗下 小姐 多为内地、香港、澳门、韩国、日本等地嫩模。 应召网站赫见多名香港女星的照片，每小时至少索价3.5万元新台币（约7000人民币）。,1
16,1、预留水电路东莞装修公司发现， 卫生间 装修时业主往往忘了多预留电源插座和水路，后期改换智能马桶就容易导致使用不便。 2、墙地砖问题铺地砖前做至少24小时的闭水实验，到楼下看看有无漏水痕迹；地砖与墙砖通缝对齐，铺地砖的时候要保证砖面有一个1°左右的泄水坡度，坡度要朝向地漏。,1
17,经审讯，两人交代了当天凌晨连续在河头源小区、郭家庄小区和监理小区等盗窃5起，涉案价值万余元违法犯罪事实。 据交代，今年春节过后，两人从四川老家来到潍坊的一家企业打工，由于好吃懒做，干了不长时间就被这家企业 辞退 。 于是两人一商量，好多小区居民家中的窗户都不关严实，何不利用从小就在老家山区练就的攀爬技能，顺着管道爬窗入室盗窃。,1
18,此次包头书博会，带来一大套经典书系《漫画中国思想》、双语版孟子说老子说等国学系列、7本经典解密系列。 ★★★★★正文结束▼记得关注现代君▼一个图书界的老司机给你带路▼点击以下任意关键词查看以前好看的文章神奇猫书| 竹久梦二| 张国荣| 钢琴笔记| 蔡志忠| 媒体江湖| 15年选| 留学真相| 范玮琪| 爱卿朕是为了艺术| 军阀| 苏联红军| 老兵亲述朝战| 一八零师| 雅卡利| 儿童防骗| 熊孩子| 驯狮少年| 编辑的友谊小船| 妈的，我以为《了不起的盖茨比》讲的是比尔盖茨奋斗的故事| 最苦逼的作家| 作家中的硬汉| 莆田系医院名单| 独步日本的鬼才之作| 这么酷的作家， 挂了 有点尴尬| 决斗死的作家| 这书看完气得我准备打1星| 蒋介石密信全文| 每一页都带闪电的书| 我从来不敢小瞧杨绛| 走自己的路，梦想不会熄灭| 幾米这本新作请至少看五遍！,0
19,3月26日，中国国务委员杨洁篪前往新加坡驻华使馆吊唁新加坡前总理李光耀 逝世 。 杨洁篪在吊唁簿上题词，对李光耀逝世表示深切哀悼。,1
20,据台湾媒体消息，今天是张国荣 逝世 12周年祭日，许多网友及艺人在网上留言缅怀，而张国荣生前挚爱“唐唐”唐鹤德，也在社交网站贴出两人牵手背影照。,1
21,5月28日，沈阳交警支队公布，将在近期内推出一系列道路、桥梁的扩建、改建计划，推进沈阳路网 结构优化 ，完善路网功能，消除道路交通瓶颈，进一步提升道路交通通行和服务水平，确保市民出行顺畅。 这些施工将很快动工目前，全市范围内有文化路立交桥二层环岛改造工程、王家沟收费站连通工程、昆山路东延长线工程即将竣工；西北二环、迎宾路高架建设工程已经开始进行前期施工，东陵路高架、二环路富民街全互通立交正处在方案阶段；南北二干线、二环路五爱立交、总院岗下穿、一环路南环高架等项目正在论证；怒江街、陵园街、长江街等断头路的打通已列入了计划；同时，地下交通工程也在有条不紊的进行当中，地铁9、10号线正在紧张的建设，两条新开地铁线路共有乘降站63处，预计五年内投入使用，届时将进一步缓解地上交通压力。,1
22,一个城市的文明形象是由每个市民的文明行为组成的，在很大程度上，洛阳是你、是我、是他、是我们大家。 每个市民的举手投足都是洛阳形象，譬如在公众场合大声喧哗、随地吐痰、游园时插队、上 洗手间 后不冲洗…………这些行为都会为洛阳抹黑。 细节决定成败，细微处才能体现人的真性情，才能感受到真文明！,1
23,拥有丰满的 胸部 女性魅力会大增，那么，怎样丰胸美胸呢？ 看看下面的美人丰胸计，配合丰胸按摩，轻松就能拥有C罩杯。,1
24,一条是24日21时发的，内容大概是：老婆，希望你过得好，我们下辈子再做夫妻。 另一条是当日早晨近5时发的，写着：亲爱的， 永别 了。 得知此事后，小梅很后悔：“我怎么就没看手机呢，如果我看一下手机，也许就不会这样了……”张某究竟有什么心结，大家无从得知。,1
25,家住石家庄市桥西区铁路34宿舍，于2016年10月28日晚8点左右在铁路34宿舍附近走失，至今未和家长或老师取得联系。 昨天出门时上身穿黑色棒球衫， 下身 穿深红色紧身裤，脚穿一双红色旅游鞋，背紫色书包。 小编在朋友圈看到这条消息后，第一时间联系了王晓丫的妈妈。,0
26,有一天，我们终于发现长大的含义，除了欲望，还有勇气、责任和坚强以及某种必须的 牺牲 。 当有一天我们开始回忆青春，不是我们老了，而是开始学会珍惜和我们共同经历青春的人。,0
