text,label
"Koko idanileko yi ni oro nipa itanran ti o nbe fun eni ti o ni ajosepo pelu eleto re ni osan Ramadan, oniwaasi se alaye re ni ekunrere o si tun menu ba awon idajo miran.",1
"Gẹgẹ bo se wi, amutọrunwa yii ni bi oju ara obinrin sa kan di lati ọrun, ti ko si fẹ to lati gba nnkan ọkunrin.",1
"Kẹta akoko fertilize awọn nkan ti o wa ni erupe ile ojutu, ati awọn iwọn lilo ti irawọ owurọ-potasiomu ajile le ti wa ni pọ si ati ki o kan si meji idaji igba.",0
Bi mo ba sun bi mo ba ji iwo lolorun mi o o o ,0
 Ise abe – a o mu gbogbo omu tabi lara omu alaisan kuro. ,0
"mu alejo wá ba ọ, ẹlẹ̀ru ninu awọn orilẹ-ède: nwọn o si fà idà wọn yọ si ẹwà ọgbọ́n rẹ, nwọn o si bà didán rẹ jẹ. 8 Nwọn o mu ọ sọkalẹ wá sinu ihò, iwọ o si kú ikú awọn ti a pa li ãrin okun. 9 Iwọ ha le sọ sibẹ niwaju ẹni ti npa ọ, pe, Emi li Ọlọrun? ṣugbọn enia ni iwọ, o kì yio si jẹ Ọlọrun, lọwọ ẹniti npa ọ. 10 Iwọ o kú ikú awọn alaikọlà lọwọ awọn alejo : nitori emi li o ti sọ ọ, li Oluwa Ọlọrun wi. 11 Ọ̀rọ Oluwa si tun tọ̀ mi wá, wipe, 12 Ọmọ enia, pohùnréré sori ọba Tire, ki o si wi fun u pe, Bayi li Oluwa Ọlọrun wi; Iwọ fi edidi dí iye na, o kún fun ọgbọ́n, o si pé li ẹwà. 13 Iwọ ti wà ni Edeni ọgbà Ọlọrun; oniruru okuta iyebiye ni ibora rẹ, sardiu, topasi, ati diamondi, berili, oniki, ati jasperi, safire,",0
"Ni kete ti a ti ṣe ayẹwo akàn igbaya, dokita yoo pinnu ipele ti akàn ati boya tabi ko jẹ metastatic (ti o ba tan kaakiri awọn ọyan). Eyi yoo ṣe iranlọwọ dokita lati ṣe agbero ero itọju kan, ni ọpọlọpọ awọn ọran, awọn itọju le ni idapo. Awọn itọju pẹlu iṣan abẹ aisan igbaya, eyiti o jẹ igbagbogbo a lumpectomy or mastectomy , radiotherapy, chemotherapy, itọju homonu, ati itọju oogun ti a fojusi.",1
"Ori mi asi ma kanrin gidigidi agaga ti o ba ti je wipe to ni kia-kia ti o ti mo wa lara ni a sare waaye fun, iyen ni kan to bu omi rin oungbe ibalopo gege bi loko-laya tii ba ma gbe mi ni akoko na. ",1
" Àwọn ẹranko Aléegunẹ́yìn (Vertebrata"") ni won wa ninu abe iruara Àwọn Aléegunẹ́yìn""'' ti chordates ti won ni eguneyin ati egun-opo iyira. ",0
Mo pa ayan yen ,0
